不雜,མ་འདྲེས་པ
飮論,སྐོམ་གྱི་གཏམ
無所依住,གནས་མེད་པ
利有情異熟,སེམས་ཅན་གྱི་དོན་རྣམ་པར་སྨིན་པར་བྱེད་པ
決定勝道,ངེས་པར་ལེགས་པའི་ལམ
重累其足,རྐང་པའི་སྟེང་དུ་རྐང་པ་གཞག་པ
滅界,འགོག་པའི་དབྱིངས
肩善圓滿,དཔུང་མགོ་ལེགས་པར་གྲུབ་པ
犯戒垢,ཚུལ་ཁྲིམས་འཆལ་བའི་དྲི་མ
無貪,བརྐམ་ཆགས་མེད་པ
未串習,མ་འདྲིས་པ
能進趣門,ཡང་དག་པར་འདའ་བའི་རྣམ་གྲངས
在家所爲,ཁྱིམ་ན་གནས་པའི་བྱ་བ
雖復希求而不得苦,དོད་པ་བཙལ་ཏེ་མ་རྙེད་པ་གང་ཡིན་པ་དེ་ཡང་སྡུག་བསྔལ
剛強相,སྲ་བ་ཉིད་ཀྱི་མཚན་ཉིད
制,དགག་པར་བྱ་བ
藥草,རཚབ༹
已發正願,སྨོན་ལམ་བཏབ་པ
過此,དེའི་ཕ་རོལ་དུ
我,བདག
捨定,བཏང་སྙོམས་ལ་སྙོམས་པར་ཞུགས་པ
憂慼,ཡུལ་ཡུལ་པོར་གྱུར་པ
作業,བྱ་བ
滅盡,ཡང་དག་པར་འགག་པ
修加行,རབ་ཏུ་སྦྱོར་བ
孝,དབང་བ
示現種種神通,རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ
引,དྲངས་པ
爾所,དེ་དག་ཏུ་ཟད
臥具,གནས་མལ
先習,སྔོན་གོམས་པ
不可顯現,སྣང་བ་མེད་པ
不翹勤,མི་མཁས་པ
能起,གྲུབ་པ
性不好造詣於他,ཉེ་བར་མི་འགྲོ་བའི་རང་བཞིན་ཅན
言論,གཏམ
名言世俗,མངོན་པར་བརྗོད་པ་དང་ཀུན་རྫོབ
處所極遠,ཡུལ་གྱིས་བསྐལ་བ
取爲己有,བདག་གིར་བྱས་པ
來入衆中,ཚོགས་ཀྱི་ནང་དུ་འོང་བ
能趣行,འགྲོ་བའི་ལམ
一,གཅིག་པུ
衰惱墜沒之苦,འཆི་འཕོ་བ་དང་ལྟུང་བའི་སྡུག་བསྔལ
眞智神通引發,དེ་ཁོ་ན་ཤེས་པའི་མངོན་པར་ཤེས་པ་སྒྲུབ་པ
菩薩學道,སློབ་པར་གྱུར་པའི་བྱང་ཆུབ་སེམས་དཔའ
獲得,ཁས་བླངས་པར་འགྱུར་བ
極大無智,མི་ཤེས་པ་ཆེན་པོ
意,དགོངས་པ
決定智,ངེས་པའི་ཤེས་པ
已生當生正生,སྐྱེས་པ་དང་སྐྱེ་བ་དང་སྐྱེ་བར་འགྱུར་བ
開導,སྐབས་འབྱེད་པ
舐,ལྡག་པ
無熱大池,མཚོ་ཆེན་པོ་མ་དྲོས་པ
通達聖諦理,བདེན་པ་རྟོགས་པ
受持讀誦,ལུང་འབོགས་པ་དང་ཁ་ཏོན་བྱེད་པ
純,ངེས་པར
辛楚加行,སྦྱོར་བ་དྲག་པོ
財物,རྫས
順,ཚམ་པ
得成就,ལྡན་པ
因饒益他,གཞན་ལ་ཕན་འདོགས་པའི་རྒྱུ
殺害之心,བསྡ་པའི་སེམས
少年,གསར་བུ
如法求請,རུང་བ་སློང་བ
正願,སྨོན་ལམ
染,རྗེས་སུ་ཆགས་པ
易趣入,འཇུག་པར་སླ་བ
不堪委任,བསྐོ་བར་མི་འོས་པ
執受,འཛིན་པ
治無智,མི་ཤེས་པའི་གཉེན་པོ
自然,རང་གི
詞,ངེས་པའི་ཚིག
功徳相應,ཡོན་ཏན་དང་ལྡན་པ
方便善巧波羅蜜多,ཐབས་ལ་མཁས་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ
憙樂顚倒,དགའ་བ་ཕྱིན་ཅི་ལོག་པ
法教,ཆོས
應知,རིག་པར་བྱ་བ
引無義苦,གནོད་པ་དང་ལྡན་པའི་སྡུག་བསྔལ
出家,ཁྱིམ་གྱི་གནས་ལས་ངེས་པར་འབྱུང་བ
少--淨信,དང་བ་ཙམ
正精進,ཡང་དག་པའི་བརྩོན་འགྲུས་རྩོམ་པ
然後,ཕྱིས
處置時,བསྐོ་བའི་དུས
飮米等酒,ཆང་དང་བཅོས་པའི་ཆང་དང་སྦྱར་བའི་ཆང
吼,སྒྲ་སྐད
別離愛,བྲལ་བར་འདོད་པ
修斷,སྤོང་བ
過去未來現在諸法,འདས་པ་དང་མ་འོངས་པ་དང་ད་ལྟ་བྱུང་བའི་ཆོས
實無事,དངོས་པོ་མེད་པ
盡,ཡོངས་སུ་ཟད་པ
滋潤其身,ལུས་བརླན་པ
開,བཙུད་པ
殺生,སྲོག་གཅོད་པ
不善觀察而攝群臣,ཚལ་ཟ་མ་བརྟགས་པ་ལེན་པ
辯了,བརྡ་ཕྲད་པ
磨滅,ཡོངས་སུ་ཟད་པ
受離繫義,ཚོར་དང་བྲལ་བའི་དོན
夏,དབྱར
令新,སར་པར་བྱེད་པ
法眼,ཆོས་ཀྱི་ཚུལ
環,མགུལ་གདུབ
利益種類自利利他無有罪相,བདག་དང་གཞན་གྱི་དོན་ཕན་པའི་རྒྱུ་ཁ་ན་མ་ཐོ་བ་མེད་པའི་མཚན་ཉིད
假説,ཐ་སྙད་ལས་བྱུང་བ
不輕賤,ཁྱད་དུ་གསོད་པར་མི་བྱེད་པ
水,ཆུའི་རྒྱུན
長養,བརྟས་པར་བྱེད་པ
安樂意樂,བདེ་བ་བྱ་བའི་ལྷག་པའི་བསམ་པ
應正道理,རིགས་པའི་ངོ་བོ་ཡིན་པ
有誤失,འཁྲུལ་པ་འབྱུང་བ
無斷壞,རྒྱུན་མི་འཆད་པ
剛決,སྙིང་སྟོབས
舌,ལྕེ
若増若減,འཕེལ་བ་དང་འགྲིབ་པ
二形者,མཚན་གཉིས་པ
食,བཅའ་བ
在家,ཁྱིམ་པ
心無怯劣,ཡིད་ཞུམ་པ་མེད་པ
不順儀則,ཆོས་ལུགས་དང་མི་ལྡན་པ
種種勝解智力,མོས་པ་སྣ་ཚོགས་མཁྱེན་པའི་སྟོབས
増盛,བརྟས་པར་བྱེད་པ
染,ཉོན་མོངས་པ་ཅན་དུ་འགྱུར་པ
四種念住,དྲན་པ་ཉེ་བར་གཞག་པ་བཞི
適悦,དགའ་བ
合會,ཉེ་བ
無間無缺,ཤིན་ཏུ་བར་ཆད་མེད་ཅིང་རྒྱུན་མི་འཆད་པ
近分定,སྙོམས་པར་འཇུག་པ་རྣམས་ཀྱི་ཉེར་བསྡོགས
性,རང་བཞིན
最極速疾,དུས་ཉེ་བར་མྱུར་བ་མྱུར་བར
牛王,ཁྱུ་མཆོག
極利益甘露界,གཏན་དུ་ཕན་པ་འཆི་བ་མེད་པའི་དབྱིངས
被法服,བགོ་བ
攝益有情,སེམས་ཅན་ལ་ཕན་འདོགས་པ
如所有性,ཇི་ལྟ་བར་ཡོད་པ་བཞིན་དུ
不律儀所攝業,སྡོམ་པ་མ་ཡིན་པས་བསྡུས་པའི་ལས
所取---能取,གཟང་བ་དང་འཛིན་པ
不生憤發,འཁྲུགས་པར་མི་འགྱུར་བ
般涅槃者,ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ
煙,དུད་པ
正念,དགོངས་པ
受持,ཡང་དག་པར་བཟུང་བ
廣略,བསྡུ་བ་དང་དབྱེ་བ
趣決擇,ངེས་པར་འབྱེད་པར་འགྱུར་བ
正定心,སེམས་མཉམ་པར་གཞག་པ
太,ཧ་ཅང
開曉,སྟོན་པར་བྱེད་པ
觀,གཟིགས་པ
非時中夭,དུས་མ་ཡིན་པར་འཆི་བར་འགྱུར་བ
所作成滿相應淨分無分別相,དགོས་པ་ཡོངས་སུ་གྲུབ་པ་དང་ལྡན་པ་རྣམ་པར་དག་པའི་ཆ་དང་མཐུན་པའི་མཚན་མ་རྣམ་པར་མ་བརྟགས་པ
成愛念,དགའ་བར་འགྱུར་པ
不現在前,ལྐོག
四神足,རྫུ་འཕྲུལ་གྱི་རྐང་པ་བཞི
發大精進,བརྩོན་འགྲུས་བརྩམས་པ
幻士衆中,གར་མཁན་ལྟད་མོའི་དབུས
染汚性愛,ཉོན་མོངས་པ་ཅན་གྱི་སྲེད་པ
生天上,ལྷའི་འཇིག་རྟེན་དུ་སྐྱེ་བ
和合相應,འདུས་པའི་སྦྱོར་བ
無慚無愧,ངོ་ཚ་བ་མེད་པ་དང་ཁྲེལ་མེད་པ
雜説,འཕྲོ་བ
非太沈,ཧ་ཅང་མི་ཞུམ་པ
品類,རྣམ་པ
諸法無我,ཆོས་ཐམས་ཅད་བདག་མེད་པ
唯---憶念,རྗེས་སུ་དྲན་པ་ཙམ
散壞無常,འབྲལ་བའི་མི་རྟག་པ་ཉིད
於如是,དེ་ཉིད་ལ
成就好色,ཁ་དོག་དང་ལྡན་པ
不---相應,མཚུངས་པར་ལྡན་པ་མ་ཡིན་པ
希趣欲,འགྲོ་འདོད་པ
領受,ཉམས་སུ་མྱོང་བ
不顧沙門,དགེ་སྦྱོང་གི་ཚུལ་ལ་མི་ལྟ་བ
如來心生起之相,དེ་བཞིན་གཤེགས་པའི་སེམས་འབྱུང་བའི་མཚན་ཉིད
先來,སྔོན
覺悟,སད་པར་བྱེད་པ
度,རྒལ་བ་འགྱུར་བ
正安住,ཡང་དག་པར་གནས་པ
麁善守根相,དབང་པོ་ཤིན་ཏུ་བསྡམས་པའི་རྟགས་རགས་པ
能令憶,དྲན་པར་བྱེད་པ
名廣,མིང་རྒྱས་པ
謗聲,མི་སྙན་པ
心狂亂,སེམས་འཁྲུགས་པ
動作之我,རྩོལ་བའི་བདག་ཉིད་ཅན
發起加行,མངོན་པར་འདུ་བྱེད་པ
想所作,འདུ་ཤེས་ཀྱིས་བྱས་པ
從母産生,མངལ་ནས་སྐྱེ་ཞིང་མ་ལས་བྱུང་བ
縁現見境,མངོན་སུམ་གྱི་ཡུལ་ལ་དམིགས་པ
愁惱,མྱ་ངན
如影,གྲིབ་མ་བཞིན་དུ
自在増上,དབང་ཕྱུག་གི་བདག་པོ
稚,ཆུང་ངུ
辯,གསལ་བ
自相共相觀,རང་གི་མཚན་ཉིད་ཡོངས་སུ་བརྟགས་པ་དང་སྤྱིའི་མཚན་ཉིད་ཡོངས་སུ་བརྟགས་པ
定地意門方便,མཉམ་པར་གཞག་པའི་ས་པའི་ཡིད་ཀྱི་སྒོའི་སྤྱོད་པ
由此因縁,གཞི་དེ་ལས
三種無自性性,ངོ་བོ་ཉིད་མེད་པ་ཉིད་རྣམ་པར་གསུམ་པོ
至,འགྲོ་བ
最後界,མཚམས
藏,སྦས་པ
賊,ཆོམ་རྐུན
鷄,ཕྲུ་གུ
追悔,འགྱོད་པར་གྱུར་པ
種種苦蘊,སྡུག་བསྔལ་སྣ་ཚོགས་ཀྱི་ཕུང་པོ
摧屈,ཁྱད་དུ་གསད་པ
遠分制伏,ཐག་བསྲིང་བས་རྣམ་པར་གནོན་པ
他性,གཞན་གྱི་དངོས་པོ
佛所行,དེ་བཞིན་གཤེགས་པའི་སྤྱོད་ཡུལ
未得相應,མི་ལྡན་པ
如應所攝,ཅི་རིགས་པར་གྱུར་པ
色萎黄,མདོག་སྐྱ་བ
縁寶決定思,དཀོན་མཆོག་ལ་དམིགས་པའི་ངེས་པར་སེམས་པ
沈沒境界,ཡུལ་ལ་གཞོལ་བ
動轉,ག-ཡོ་བ
詰問,ཡོངས་སུ་འདྲི་པར་བྱེད་པ
惡説,ཉེས་པར་བཤད་པ
染汚清淨,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ
品別,རྣམ་པའི་རབ་ཏུ་དབྱེ་བ
想思,འདུ་ཤེས་དང་སེམས་པ
二二交會,གཉིས་ཀྱིས་གཉིས་སྤྲད་པ
善修習,ཤིན་ཏུ་བསྒོམས་པ
轉捨,རྣམ་པར་ལྡོག་པ
漸次,སྔ་ཕྱི་འཚམ་པ
穢濁,སྙིགས་མ
産處過患,སྐྱེ་གནས་ཀྱི་ཉེས་པ
作如是念,དེ་འདི་སྙམ་དུ
安立諦智,རྣམ་པར་བཞག་པའི་བདེན་པ་ཤེས་པ
有情想倶行作意,སེམས་ཅན་དུ་འདུ་ཤེས་པ་དང་ལྡན་པའི་ཡིད་ལ་བྱེད་པ
依法,ཆོས་ལ་གནས་པ
謇澁,འདར་འདར་པོ
淨法器,དཀར་པོའི་ཆོས་རྣམས་ཀྱི་སྣོད་དུ་གྱུར་པ
内,སོ་སོའི་བདག་ཉིད་ལ
甲冑,གོ་ཆ
終不重犯,ཕྱིན་ཆད་མི་བྱ་བ
無心睡眠位,གཉིད་སེམས་མེད་པའི་གནས་སྐབས
眩瞖,རབ་རིབ
不觀瞻口,ངོར་མི་ལྟ་བ
離貪心,འདོད་ཆགས་དང་བྲལ་བའི་སེམས
爲伴,གྲོགས་ཀྱི་བྱ་བ་བྱེད་པ
内大種所合身,ནང་གི་འབྱུང་བ་ཆེན་པའི་ལུས
住法,ཆོས་ལ་གནས་པ
遮罪,བཅས་པའི་ཁ་ན་མ་ཐོ་བ་དང་བཅས་པ
數,རྒྱུན་དུ
法無礙解,ཆོས་སོ་སོ་ཡང་དག་པར་རིག་པ
密護---門,སྒོ་རྣམས་སྲུང་བ
相,རྒྱུ་མཚན
増上慧學,ལྷག་པའི་ཤེས་རབ་ཀྱི་བསླབ་པ
愛味貪,རོ་ལ་འདོད་ཆགས
殖,ཞེན་པ
餘論,གཏམ་གཞན
煩惱熾然熱惱永息,ཉོན་མོངས་པའི་རིམས་ནད་ཀྱི་གདུང་བ་དང་གཏན་བྲལ་བ
喜樂欲,འདོད་པའི་དགའ་བ
存濟,ཚོ་བར་འགྱུར་བ
念防護意,དྲ་པས་ཡིད་ཀུན་ཏུ་བསྲུངས་པ
護,ཉེ་བར་སྦྱོར་བ
憤發輕微,འཁྲུག་པའི་ཤས་མི་ཆེ་བ
斫截破壞驅擯殘残害之苦,གཅད་པ་དང་དྲལ་བ་དང་སྤྱུགས་པ་དང་གསད་པའི་སྡུག་བསྔལ
於外受心法住循受心法觀,ཕྱི་རོལ་གྱི་ཚོར་བ་དང་སེམས་དང་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་ཞིང་གནས་པ
我所,བདག་གི
邊際,བས་མཐའ
僧居園,དགེ་འདུན་གྱི་ཀུན་དགའ་ར་བ
身,ལུས
伎藝,ནུས་པ
懷,འཛིན་པར་བྱེད་པ
最勝,ལེགས་པར་འགྱུར་བ
補特伽羅無我性,གང་ཟག་ལ་བདག་མེད་པ
一切皆伏,ཐམས་ཅད་བཅོམ་པ
依止非一聚,འདུས་པ་དུ་མ་ལ་བརྟེན་པ
神足,རྫུ་འཕྲུལ་གྱི་རྐང་པ
能成熟,ཡོངས་སུ་སྨིན་པར་བྱ་བ
無勞倦,ངལ་བ་མེད་པ
爲實義,དོན་---གྱུར་པ
遽務,རྣམ་པར་ཆགས་པ
不擾其心,ཐུགས་ཡོངས་སུ་མ་གཏུགས་པ
珍財,ནོར
空門,སྟོང་པ་ཉིད་ཀྱི་སྒོ
有實義諸有學者,དོན་དུ་བདེན་པའི་སློབ་པར་གྱུར་པ
得昇進,ཁྱད་པར་དུ་འགྲོ་བ
能隨造作,འབྱུང་བར་བྱེད་པ
微信,དད་པ་ཙམ
誰,སུ
了知,ཚལ་བར་གྱུར་པ
證得増上慢縛,ཐོབ་པར་མངོན་པའི་ང་རྒྱལ་གྱི་འཆིང་བ
自性眞實,རང་བཞིན་གྱིས་ཡོངས་སུ་གྲུབ་པ
大大福果,བསོད་ནམས་ཀྱི་འབྲས་བུ་ཆེས་ཆེ་བ
遊歴世界,ཁམས་འཕོ་བ
別,སོ་སོ
高標出,ག-ཡེན་དུ་མཐོ་བ
廣大喜樂,བདེ་བ་རྒྱ་ཆེན་པོ
學方便善,སློབ་པའི་སྦྱོར་བ་ལས་བྱུང་བའི་དགེ་བ
濟,སྐྱབས
受用,ཉམས་སུ་མྱོང་བར་འགྱུར་བ
新,སར་པར་འགྱུར་བ
依三摩地,ཏིང་ངེ་འཛིན་ལ་ཡང་དག་པར་གནས་པ
待縁當生,སྐྱེ་བའི་རྐྱེན་ལ་ལྟོས་པ
習欲,འཁྲིག་པ་སྤྱད་པ
八十種隨形相,དཔེ་བྱད་བཟང་པོ་བརྒྱད་ཅུ
印持,མོས་པ
動,ག-ཡོ་བར་བྱེད་པ
施設,གདགས་པར་བྱས་པ
根本位,དངོས་གཞིའི་གནས་སྐབས
求有者,འབྱུང་བར་འདོད་པ
哀憐,བྱམས་པ
細,འཇམ་པ
轉,བརྗེ་བ
正修行中道勝行,དབུ་མའི་ལམ་དུ་ཞུགས་པ
染汚品,ཉོན་མོངས་པའི་ཕྱོགས
他心,གཞན་གྱི་སེམས
此世,འཇིག་རྟེན་འདི
委悉所作,མཁས་པར་བྱེད་པ
所尋思,རྣམ་པར་རྟོག་པ
滅界,འགོག་པའི་ཁམས
不喜樂過失,མངོན་པར་མི་དགའ་བའི་སྐྱོན
相稱因果體性,རྒྱུ་དང་འབྲས་བུ་རིམ་པ་བཞིན་དུ་འཚམ་པར་འབྱུང་བ
能敬,མཐུན་པར་འཛིན་པ
愛樂,དགའ་བ
少分,ཆུང་ངུ་--ཊསམ
不極令身速疲倦,ལུས་ཤིན་ཏུ་ངལ་བར་མི་འགྱུར་བ
利他行,གཞན་ལ་ཕན་པ
現前,ཉེ་བར་གནས་པ
食,གསོ་བའི་ཟས
二路,ལམ་གཉིས
奉行,རྫོགས་པར་བྱེད་པ
捨倶,བཏང་སྙོམས་དང་ལྡན་པ
心生喜樂,ཡིད་ཆེས་པར་གྱུར་པ
入四聖諦攝,འཕགས་པའི་བདེན་པ་བཞིར་ཅི་རིགས་པར་འདུ་བ
應共食者,ལྷན་ཅིག་ཏུ་ཟ་བ་རྣམས
捨念圓滿清白,བཏང་སྙོམས་དང་དྲན་པ་ཡོངས་སུ་དག་ཅིང་ཡོངས་བྱང་བ
長時串習,ཡུན་རིང་པོ་ནས་འདྲིས་པ
俳戲,རྔ་བོ་ཆེ
鐵鉗,ལྕགས་ཀྱི་འབྱེད་སྤྱད
所記別,ལན་གདབ་པར་བྱ་བ
遠離一切取捨造作平等性,བླང་བ་དང་དོར་བའི་མངོན་པར་འདུ་བྱེད་པ་དང་བྲལ་བའི་མཉམ་པ་ཉི
最後身,ལུས་ཀྱི་ཐ་མ
句義,དོན་གྱི་ཚིག
善分析言,རབ་ཏུ་དབྱེ་བ་དང་ལྡན་པའི་གཏམ
勝義攝,དོན་དམ་པ་བསྡུ་བ
鐵炭,ལྕགས་ཀྱི་མེ་མདག
若,ཡང་རུང
有分別有相所縁,རྣམ་པར་རྟོག་པ་དང་བཅས་པ་དང་མཚན་མ་དང་བཅས་པའི་དམིགས་པ
苦苦,སྡུག་བསྔལ་གྱི་སྡུག་བསྔལ་ཉིད
低,དམན་པ
他所引奪,གཞན་གྱིས་ཕྲོགས་པ
聞不正法縁,དམ་པ་མ་ཡིན་པའི་ཆོས་ཐོས་པའི་རྐྱེན
外別有實我不可得,དོན་ཐ་དད་པའི་བདག་མེད་པ
財寶庫藏,ནོར་གྱི་ཕུང་པོ
歡喜,ཡིད་དགའ་བར་འགྱུར་བ
安立業雜染論,ལས་ཀྱི་ཀུན་ནས་ཉོན་མོངས་པ་རྣམ་པར་གཞག་པ་སྨྲ་བ
一向苦,གཅིག་ཏུ་སྡུག་བསྔལ
思擇力加行,སོ་སོར་རྟོག་པའི་སྟོབས་ཀྱི་སྦྱོར་བ
施設於名不應道理,མིང་གདགས་སུ་མི་རུང་བ
濁惡,སྙིགས་མ
燒煿,སྲེག་ཅིང་རབ་ཏུ་སྲེག་པ
諦現觀,བདེན་པ་མངོན་པར་རྟོགས་པར་འགྱུར་བ
豆,རྒྱ་སྲན
技能,ནུས་པ
世間清淨靜慮,དག་པའི་འཇིག་རྟེན་པའི་བསམ་གཏན
癲癇,སྨྱོས་པ
善緝綴,ལེགས་པར་སྦྱར་བ
自他利,བདག་དང་ཕ་རོལ་ལ་ཕན་པར་འགྱུར་བ
不果遂,དོན་མེད་པ
感,མངོན་པར་འགྲུབ་པ
前後義趣不相屬,སྔ་མ་དང་ཕྱི་མའི་དོན་འབྲེལ་བ་མེད་པ
速疾通慧,མངོན་པར་ཤེས་པ་མྱུར་བ
又,ཡང
妻妾,ཆུང་མ
主性,རྗེ་བོའི་དངོས་པོ
色根,དབང་པོ་གཟུགས་ཅན
根所依處,དབང་པོའི་གནས
發辛楚言,ཚིག་རྩུབ་པོ་རྗོད་པར་བྱེད་པ
熟,ཡོངས་སུ་སྨིན་པ
通達,ལེགས་པར་རབ་ཏུ་རྟོགས་པར་བྱས་པ
非律儀,སྡོམ་པ་མ་ཡིན་པ
作---妄分別,ཡོངས་སུ་བརྟགས་ནས
火焰,མེའི་འོད་འཕྲོ་བར
與---倶,བཅས་པ
雜染及清淨法,ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ
生死涅槃,འཁོར་བ་དང་མྱ་ངན་ལས་འདས་པ
温陽,དྲོ་བ
非果法,འབྲས་བུ་མ་ཡིན་པ
廣説,རྒྱས་པ
曲業,ཡོན་པོའི་ལས
住熟道,ལམ་དུ་ཞུགས་པ
損害,གནོད་པར་བྱེད་པ
日後分,ཕྱི་མ་རེད་ཀྱི་དུས་ཀྱི་ཚེ
死屍,ཤི་བའི་རོ
十地,ས་བཅུ
少,ཉུང་བ
空位,སྟོང་པའི་གནས་སྐབས
心清淨殊勝,སེམས་རྣམ་པར་དག་པའི་ཁྱད་པར
亂,རྣམ་པར་ག-ཡེང་བར་བྱེད་པ
無所依住,མི་བརྟེན་པར་གནས
所荷擔,ཁུར་གང་ལེན་པ
外諸欲,ཕྱི་རོལ་གྱི་འདོད་པ
法平等性,ཆོས་མཉམ་པ་ཉིད
